payo,68,ID,18.362056021437382,130.066885398071,20.91,95,1.01
two rivers,90,US,44.05188780097674,-87.29581222573026,1,96,4.1
fortuna,75,US,39.034755688725,-126.0396084262659,13.89,87,9.3
mataura,17,NZ,-81.13432180142524,-153.0284637833795,10.56,66,1.34
avarua,100,CK,-18.363161483028023,-160.98265444037276,24,94,5.1
mingguang,17,CN,33.09215127599218,118.49204059931776,3.42,43,2.04
ixtapa,75,MX,2.6764212163400316,-108.46514079373597,28,61,4.1
upernavik,76,GL,82.35756296461773,-51.52725427431136,-11.58,60,2.09
jamestown,100,AU,-28.5224578186442,-4.772505091503746,11.37,85,10.31
zhigansk,100,RU,70.18368148894223,119.40827807398642,-33.5,94,5.3
saint-philippe,40,CA,-43.40228798505221,65.04054750751641,-6.11,67,6.2
rikitea,37,PF,-32.62668080348961,-111.32901252423486,25.52,74,3.31
beroroha,56,MG,-21.64248191356515,45.43895756611073,28.64,51,4.01
illoqqortoormiut,NaN,NaN,78.89147824579402,-15.960519764275261,NaN,Nan,NaN
